index	ID	Posted at	Screen name	Text	date	time	nano
0	789515913984827392	2016-10-21 17:17:17 +0000	michaelhoffman	Q: Trans-regulation? CB: Haven't looked at it yet or at Hi-C data but we want to #ASHG16	2016-10-21	171717	+0000
1	789515913640894464	2016-10-21 17:17:16 +0000	thatdnaguy	#ASHG16 CB: ? Any trans? A - Haven't looked for any trans effects. But interesting for future.	2016-10-21	171716	+0000
2	789515773861429248	2016-10-21 17:16:43 +0000	thatdnaguy	#ASHG16 CB: ? Do eQTL match the reported GWAS? A - about half the eQTL doesn't affect nearest gene. 10% aff multiple genes.	2016-10-21	171643	+0000
3	789515656592883712	2016-10-21 17:16:15 +0000	RyanTewhey	C Brown: 76% of CREs validate within an MPRA exp. #ASHG16	2016-10-21	171615	+0000
4	789515593024098305	2016-10-21 17:16:00 +0000	Magda_Skipper	CB: deep mutiindividual epigenomic profiling expands catalogue of tissue specific CRE #ASHG16	2016-10-21	171600	+0000
5	789515548212072453	2016-10-21 17:15:49 +0000	thatdnaguy	#ASHG16 CB: ? Overlapped with reg regions (no ac marks)? A - No.	2016-10-21	171549	+0000
6	789515538158399489	2016-10-21 17:15:47 +0000	joshulux	CB: LD reference panel size needs to scale up with GWAS size to support fine mapping (>1k for 5k GWAS, >10k for 50k GWAS). #ASHG16	2016-10-21	171547	+0000
7	789515529237049344	2016-10-21 17:15:45 +0000	RyanTewhey	C Brown: Deep chromatin profiling uncovers ~30% more cis-regulatory elements than what is in catalogs.  #ASHG16	2016-10-21	171545	+0000
8	789515419233116160	2016-10-21 17:15:19 +0000	thatdnaguy	#ASHG16 CB: ? Looked at loci where SNP coding? A - have not looked at coding SNPs that could regulate.	2016-10-21	171519	+0000
9	789515273061609472	2016-10-21 17:14:44 +0000	thatdnaguy	#ASHG16 CB: ? What abt cred SNPs but dont overlap reg element signal? A - Miss things not marked with our epi pulldowns	2016-10-21	171444	+0000
10	789515226517352448	2016-10-21 17:14:33 +0000	RaulieSci	CB: Most GWAS SNPs have a nominal association with cis-eQTLs. Colocalization testing is necessary. #ASHG16	2016-10-21	171433	+0000
11	789515101413924864	2016-10-21 17:14:03 +0000	thatdnaguy	#ASHG16 CB: Work of Minal Caliskan and Julian Segert	2016-10-21	171403	+0000
12	789515058766229504	2016-10-21 17:13:53 +0000	michaelhoffman	Very nice talk by CB. #ASHG16	2016-10-21	171353	+0000
13	789514857619922944	2016-10-21 17:13:05 +0000	thatdnaguy	#ASHG16 CB: Allelic imbalance at CREs. 1800 CREs with significant imbalance. 14 derived from lipid GWAS [ nice! ]	2016-10-21	171305	+0000
14	789514757619404800	2016-10-21 17:12:41 +0000	michaelhoffman	CB: 1804/49253 CREs have significant allelic imbalance at 5% FDR. 14 loci with significant allelic imbalance [cool!!!] #ASHG16	2016-10-21	171241	+0000
15	789514648470945793	2016-10-21 17:12:15 +0000	thatdnaguy	#ASHG16 CB: Colocalized SNPS in 95% credible sets at 49 loci overlap with cis regulatory elements.	2016-10-21	171215	+0000
