ID,Posted at,Screen name,Text
789825935046389762,2016-10-22 13:49:11 +0000,actually_alan,"RT @scilahn: Have iPhone, will sequence with @nanopore smidgION incredible how small it is! #ASHG16 #NGS https://t.co/whvJvcUSm5"
789824965524742145,2016-10-22 13:45:20 +0000,lighketsho,обслуживание гбо #ASHG16 https://t.co/VEauteeXUE
789823658218889216,2016-10-22 13:40:08 +0000,seankenneths,RT @ben_lengerich: @manoliskellis crushing the figures per poster category at #ashg16 ...great work as always https://t.co/A7NTD1cWbF
789823313384239104,2016-10-22 13:38:46 +0000,yokonaga405,"RT @EricTopol: Crowdsourced personal genomes: update on DNA Land @dl1dl1, already w/ 32,000 people https://t.co/1CKYDhKWiK #ASHG16 https://t.co/r28n0H9zFO"
789823305796640772,2016-10-22 13:38:44 +0000,spwells,Ciao #ASHG16 - it's been an awesome week. See you next year!
789823269079650304,2016-10-22 13:38:36 +0000,jlwalker97,"RT @JulieNadel: ""Faculty jobs are the 'alternative' career"" <8% of trainees going into ""traditional"" career #ASHG16 - support your trainees in other paths"
789822296949133312,2016-10-22 13:34:44 +0000,DerSchmelling,"RT @scilahn: Have iPhone, will sequence with @nanopore smidgION incredible how small it is! #ASHG16 #NGS https://t.co/whvJvcUSm5"
789820221397749760,2016-10-22 13:26:29 +0000,IRichardson07,"RT @Genomes2People: #ASHG16 platform on how primary care providers interpret & manage #genome seq results, 9:45am tmrw! Ses.74 Rm109 by… https://t.co/tAWCCowIYA"
789820218793222144,2016-10-22 13:26:28 +0000,Qcanon,RT @FDNA_Tweets: #Face2Gene can facilitate evaluations of rare #genetic disorders for genetic professionals #ASHG16 https://t.co/NBefpwZgUd
789820211452977152,2016-10-22 13:26:27 +0000,JimJohnsonSci,"RT @JulieNadel: ""Faculty jobs are the 'alternative' career"" <8% of trainees going into ""traditional"" career #ASHG16 - support your trainees in other paths"
789818195200868352,2016-10-22 13:18:26 +0000,SoniaHall,"RT @JulieNadel: ""Faculty jobs are the 'alternative' career"" <8% of trainees going into ""traditional"" career #ASHG16 - support your trainees in other paths"
789817310261444608,2016-10-22 13:14:55 +0000,fgonzalef,RT @erlichya: Holding a smidgION. Really cool! #ASHG16 https://t.co/fgmwQFZdG9
789816808513634304,2016-10-22 13:12:55 +0000,NinaGoerner,RT @Metabolon: #Genomics has met its match! Come meet us at Booth 333 at #ASHG16 to learn more. https://t.co/Ob1mRXqQIa
