ID	Posted	user	Text
792391419436687360	2016-10-29 15:43:30 +0000	Campbell_JD_	RT @TiffanyTimbers: Heard at #BioData16: the future of genome assembly representations are graph genomes, but we need to dev standardized formats & tool support
792390538913873920	2016-10-29 15:40:01 +0000	EBiederstedt	RT @yosons: Valerie Schneider #BioData16 https://t.co/rPaMDTRygy
792390187930222592	2016-10-29 15:38:37 +0000	michaelhoffman	Peter DeFord starts by asking for a round of applause for #biodata16 organizers. No one paused his clock though 😈
792390114911584257	2016-10-29 15:38:19 +0000	rnomics	The latest The RNomics-bioinfo #Paper! https://t.co/Bv4uI9FbbQ Thanks to @bioitworld @gnuraph @BioInfoLLC #bioinformatics #biodata16
792390089544466433	2016-10-29 15:38:13 +0000	GholsonLyon	RT @sedlazeck: Slides about Sniffles + NGM-LR: SV detection with long reads. Special thanks to @mike_schatz + @philres1. #biodata16 https://t.co/8LGuZqjVis
792389969100898304	2016-10-29 15:37:45 +0000	cjfields	RT @michaelhoffman: BO: Toil: massively parallel workflows and fire-breathing dragon slugs #biodata16
792389842982277120	2016-10-29 15:37:15 +0000	TiffanyTimbers	RT @giessel: .@abarysh: force directed layouts weren't designed to be quantitative, but they could be. Great creative insight. #BioData16
792389734815313921	2016-10-29 15:36:49 +0000	FuturologyBot	RT @TiffanyTimbers: Heard at #BioData16: the future of genome assembly representations are graph genomes, but we need to dev standardized formats & tool support
792389617496522753	2016-10-29 15:36:21 +0000	EBiederstedt	RT @TiffanyTimbers: Heard at #BioData16: the future of genome assembly representations are graph genomes, but we need to dev standardized formats & tool support
792389010467459072	2016-10-29 15:33:56 +0000	iddux	Happy to have discovered @jessicaseverin demoing Zenbu for large scale RNASeq and more data viz #biodata16  https://t.co/pqExRJhlQz
792388400338771968	2016-10-29 15:31:31 +0000	ayirpelle	RT @TiffanyTimbers: Heard at #BioData16: the future of genome assembly representations are graph genomes, but we need to dev standardized formats & tool support
792387552422588416	2016-10-29 15:28:09 +0000	JasonWilliamsNY	RT @jtleek: Slides from our education forum at #biodata16 with @michaelhoffman @markgerstein @TiffanyTimbers & @marianattestad https://t.co/w3KLgk91dH
792387355655172096	2016-10-29 15:27:22 +0000	precogincog	RT @TiffanyTimbers: Last morning @CSHL #BioData16, thanks to organizers @jtleek @mike_schatz & Bonnie Berger for a fantastic meeting!… https://t.co/uVNpwbbmGw
792387268166254592	2016-10-29 15:27:01 +0000	giessel	.@abarysh: force directed layouts weren't designed to be quantitative, but they could be. Great creative insight. #BioData16
792386785796128768	2016-10-29 15:25:06 +0000	ctitusbrown	RT @TiffanyTimbers: Heard at #BioData16: the future of genome assembly representations are graph genomes, but we need to dev standardized formats & tool support
792386533449986048	2016-10-29 15:24:06 +0000	JasonWilliamsNY	RT @TiffanyTimbers: Last morning @CSHL #BioData16, thanks to organizers @jtleek @mike_schatz & Bonnie Berger for a fantastic meeting!… https://t.co/uVNpwbbmGw
792385978623287296	2016-10-29 15:21:53 +0000	giessel	.@abarysh w/ beautiful and lucid talk on gene interaction networks in yeast. Nearly full double KO screen dataset available (!) #BioData16
792384922820472832	2016-10-29 15:17:42 +0000	lexnederbragt	RT @TiffanyTimbers: Heard at #BioData16: the future of genome assembly representations are graph genomes, but we need to dev standardized formats & tool support
792384477884325889	2016-10-29 15:15:55 +0000	ArtRand	RT @michaelhoffman: BO: Toil: massively parallel workflows and fire-breathing dragon slugs #biodata16
