index	ID	Posted at	Screen name	Text	date	time	nano
0	789535477946785793	2016-10-21 18:35:01 +0000	thatdnaguy	#ASHG16 KM: Somatic genome editing seems poised to go forward. Much be cautious of somatic edits hitting germline cells.	2016-10-21	183501	+0000
1	789535338796617728	2016-10-21 18:34:28 +0000	thatdnaguy	#ASHG16 KM: If it happened, it would likely happen in germ cells with IVF. Higher chance of 100% editing.	2016-10-21	183428	+0000
2	789535298078121984	2016-10-21 18:34:18 +0000	claritas4kids	#ASHG16 KM: if target embyros, CRISPR-Cas9 still active, could generate mosaics	2016-10-21	183418	+0000
3	789535177991196672	2016-10-21 18:33:49 +0000	thatdnaguy	#ASHG16 KM: How wld you do it? 1) Embryo [ mosaic ], 2) oocytes, 3) sperm	2016-10-21	183349	+0000
4	789535144654667776	2016-10-21 18:33:41 +0000	claritas4kids	#ASHG16 KM: can have unintended consequences when don't have full understanding of gene function	2016-10-21	183341	+0000
5	789534897694093312	2016-10-21 18:32:43 +0000	claritas4kids	#ASHG16 KM: standard pre-implantation genetic diagnosis relieves the need for genome editing in most but not all cases	2016-10-21	183243	+0000
6	789534836419592192	2016-10-21 18:32:28 +0000	thatdnaguy	#ASHG16 KM: Also in mutations / variants that cause embryonic lethality	2016-10-21	183228	+0000
7	789534725220204544	2016-10-21 18:32:01 +0000	thatdnaguy	#ASHG16 KM: Is preimplantation diagnosis enough? Not always. Sometimes 100% chance of trait.	2016-10-21	183201	+0000
8	789534702948331521	2016-10-21 18:31:56 +0000	robbins_sm	KM: Who do you treat when the degree of protection depends on the length of time you are exposed to the altered allele? #ASHG16	2016-10-21	183156	+0000
9	789534660539719680	2016-10-21 18:31:46 +0000	girlscientist	Nice, thoughtful talk on genome editing and heart disease by Kiran Musunuru, and thanks to him for joining the program cmte! #ASHG16	2016-10-21	183146	+0000
10	789534639618686977	2016-10-21 18:31:41 +0000	thatdnaguy	#ASHG16 KM: Potential clinical uses - 1) treat severe genetic disorder [IEM], 2) infertility treatment	2016-10-21	183141	+0000
11	789534579690385408	2016-10-21 18:31:27 +0000	claritas4kids	#ASHG16 KM: groups have shown CRISPR-Cas9 works in human embryos but off target effects happen	2016-10-21	183127	+0000
12	789534456788975616	2016-10-21 18:30:57 +0000	thatdnaguy	#ASHG16 KM: Human germline editing - 2 cases from China working on abnormal embryos. Detectable off target effects.	2016-10-21	183057	+0000
13	789534327574978560	2016-10-21 18:30:27 +0000	claritas4kids	#ASHG16 KM: up to 20% HDR repair improved survival but did not cure newborn mice, if did in adults, NHEJ caused worse disease	2016-10-21	183027	+0000
14	789534264392048640	2016-10-21 18:30:12 +0000	thatdnaguy	#ASHG16 KM: The adults made the disease worse. Probably completely disrupted gene. Made the mouse die sooner.	2016-10-21	183012	+0000
15	789534150164410369	2016-10-21 18:29:44 +0000	thatdnaguy	#ASHG16 KM: Ornithin transcaramylase (OTC). Wanted to repair in mouse model of OTC. Low repair in adults. 20% in newborn.	2016-10-21	182944	+0000
16	789534091393708033	2016-10-21 18:29:30 +0000	markgenome	KM - if get PCSK9 editing therapy, who gets it? When should it be delivered? How should it be delivered? Translation to clinic hard! #ASHG16	2016-10-21	182930	+0000
17	789534060984930304	2016-10-21 18:29:23 +0000	claritas4kids	#ASHG16 KM: OTC deficiency, 50% mortality in newborns, X linked recessive	2016-10-21	182923	+0000
18	789533930122776576	2016-10-21 18:28:52 +0000	thatdnaguy	#ASHG16 KM: [ Editing an embryo would lead to future transmission ]	2016-10-21	182852	+0000
19	789533869276037120	2016-10-21 18:28:37 +0000	claritas4kids	#ASHG16 KM: when and who should be treated? adult or child? require strong family history?	2016-10-21	182837	+0000
20	789533670482771968	2016-10-21 18:27:50 +0000	thatdnaguy	#ASHG16 KM: Who to treat??? Adutls with risk? All adults? Kid with family history? In utero w fam history? in EMBRYO with fam history?	2016-10-21	182750	+0000
21	789533604246200320	2016-10-21 18:27:34 +0000	claritas4kids	#ASHG16 KM: see no evidence of off-target effects	2016-10-21	182734	+0000
22	789533491075645444	2016-10-21 18:27:07 +0000	thatdnaguy	#ASHG16 KM: What about off target effects? Look at *predicted* similar sites find little in alternative sites. Indistinguishable from cont.	2016-10-21	182707	+0000
23	789533387035815936	2016-10-21 18:26:42 +0000	sgpombe	Contemplating a future where #GenomeEditing is comparable to a vaccination? @kiranmusunuru @penn #ASHG16 https://t.co/p6NtYQvVre	2016-10-21	182642	+0000
24	789533336989347840	2016-10-21 18:26:31 +0000	girlscientist	K Musunuru: targeting human PCSK9 in liver-humanized mice. Allows for gauging efficacy of human changes, but not in humans. #ASHG16	2016-10-21	182631	+0000
25	789533333977956352	2016-10-21 18:26:30 +0000	thatdnaguy	#ASHG16 KM: Do you hurt the hepatocytes doing this? albumin looks stable.	2016-10-21	182630	+0000
26	789533306131914752	2016-10-21 18:26:23 +0000	claritas4kids	#ASHG16 KM: why not do it to people now? Both illegal and of uncertain safety	2016-10-21	182623	+0000
